Zeit Höhe
0	0
2	0,3
4	0,5
6	0,7
8	0,9
10	1,2
12	1,3
14	1,4
16	1,5
18	1,7
20	1,8
22	1,9
24	2
26	2,3
28	2,4
30	2,6
32	2,8
34	2,9
36	3,1
38	3,1
40	3,2
42	3,3
44	3,5
46	3,6
48	3,6
50	3,7
52	3,8
54	3,9
56	4
58	4,1
60	4,2
62	4,3
64	4,4
66	4,4
68	4,5
70	4,5
72	4,6
74	4,5
76	4,6
78	4,6
80	4,6
82	4,6
84	4,6
86	4,6
88	4,6
90	4,6
92	4,6
94	4,6
96	4,6
98	4,6
100	4,6
102	4,6
104	4,6
106	4,6
108	4,6
110	4,6
112	4,6
114	4,6
116	4,6
118	4,6
120	4,6
122	4,6
124	4,6
126	4,6
128	4,6
130	4,6
132	4,6
134	4,6
136	4,6
138	4,6
140	4,6
142	4,6
144	4,6
146	4,6
148	4,6
150	4,6
152	4,6
154	4,6
156	4,6
158	4,6
160	4,6
162	4,6
